,Tweet,Emotion,Intensity
0,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,2
1,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,3
2,Lol Adam the Bull with his fake outrage...,anger,1
3,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0
4,@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,1
5,I need a ðŸ±sushi dateðŸ™ @AnzalduaG ðŸan olive guarded dateðŸ§€ @lexiereid369 and a ðŸ‘ŠðŸ¼Rockys dateðŸ• ,anger,0
6,"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0
7,@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0
8,@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,2
9,Follow up. Follow through. Be #relentless. #success,anger,0
10,@JustinRow10 dude the new madden 17? Haha,anger,0
11,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser,anger,2
12,Lol little things like that make me so angry x,anger,2
13,One more day tiff.. One more day!,anger,0
14,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0
15,Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,1
16,Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,2
17,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,3
18,I swear I got anger issues but my heart big AF...,anger,2
19,75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,1
20,This is a joke @SomersetCCC #fuming,anger,3
21,I just love it when people make plans for me without actually including me in this process #rage,anger,3
22,"Be quick to #listen, slow to #speak, and slow to .",anger,0
23,"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,1
24,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,2
25,@OstinOng YUUUHH ðŸ™„ðŸ˜­ plus clin ep and prevmed ugghhh hahaha #bitter,anger,2
26,my wasp sting is so itchy,anger,0
27,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,1
28,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,2
29,@Arsenal Giroud's beard is making me angry.,anger,3
30,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,3
31,"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,1
32,@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0
33,Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ #sting,anger,2
34,ICQ is just making me mad!!!ðŸ˜¤ #icq #angry,anger,3
35,"If angry, bash out your frustration on the pastry #GBBO",anger,2
36,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,3
37,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD,anger,0
38,@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,1
39,He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,1
40,@Dak2future decorations are up all over Jersey already #outrage,anger,2
41,We're going to get City in the next round for a revenge.,anger,1
42,@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0
43,No respect for people who force their opinions on to others yet get offended when someone does the same to them ðŸ˜‚,anger,2
44,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,2
45,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,3
46,"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger,3
47,I genuinely think I have anger issues,anger,2
48,Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,1
49,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger,2
50,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger,2
51,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger,1
52,When you forget to mention you were bought dreamboys tickets ðŸ™„ðŸ˜‚ #raging,anger,1
53,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",anger,0
54,So Rangers v Celtic ll #revenge,anger,0
55,"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger,2
56,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger,1
57,@NJDDanin123 I personally liked #relentless â€¦didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger,0
58,I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,anger,2
59,Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge #bwahaha,anger,0
60,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,3
61,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger,2
62,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger,3
63,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger,2
64,@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me ,anger,2
65,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,3
66,Another loss to city in the cup next ðŸ™ˆ ðŸ˜‚ðŸ˜‚ cmon united! ,anger,0
67,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger,1
68,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger,2
69,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger,0
70,Skipping meals is the national way of showing #disappointment and . #wiz,anger,0
71,"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,3
72,@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !,anger,0
73,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger,2
74,I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,anger,2
75,Cheap pout my brodcast,anger,0
76,Houston might lose a coach tomorrow or by midnight.  #yikes #offense?,anger,0
77,@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical),anger,2
78,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,3
79,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA  #oldcunt,anger,3
80,@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,anger,1
81,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger,1
82,"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",anger,1
83,some of the casuals tweets that Vic has faved are making me gag ,anger,3
84,@Supergold2002 Terence- got a lot of anger issues from my family and school.,anger,3
85,@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',anger,2
86,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger,0
87,@JaredLeto Jared + #snap? ðŸ’˜,anger,0
88,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger,3
89,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger,2
