,Tweet,Emotion,Intensity
0,@RockSolidShow @Pat_Francis #revolting cocks if you think I'm sexy!,fear,0
1,@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me ðŸ˜¨ðŸ˜¨ðŸ˜¨ #excited #afraid,fear,1
2,â€œWhat worries you masters you.â€ - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,fear,1
3,@carlybigelow13 first you take the room now you wanna beat me up ,fear,0
4,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear,3
5,@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,fear,0
6,3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friendsðŸ•¯,fear,0
7,@WunderlistHelp are you guys still down? When can we go up? ,fear,0
8,@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully,fear,1
9,@Jchawes What is your favorite #horror movie? #ghosthunters,fear,0
10,Not sure if thats an accomplishment or something to worry about,fear,0
11,@CharlieEblacker hate being shy ðŸ˜©,fear,1
12,#smackdev #ptp #start oh yeah!,fear,0
13,"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",fear,2
14,"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",fear,0
15,I'm shaking now.,fear,3
16,And they cover these police shootings fairly well they dont want to miss a chance to bully you,fear,2
17,"â€œ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.â€",fear,0
18,@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference),fear,0
19,That old lady is cray cray #scared #BellaIsSoCute  #Empire,fear,0
20,Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. ,fear,0
21,@YahooCare data stolen in 2014 and only now do you tell us .,fear,2
22,@RyanAbe awe yay thank god I was so worried.,fear,0
23,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,fear,2
24,@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,2
25,Late night #thoughts. Feeling .,fear,0
26,The terror threat level really need to be raised,fear,3
27,You have a #problem? Yes! Can you do #something about it? No! Than why ,fear,0
28,"@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins",fear,0
29,#panic Panic attack from fear of starting new medication,fear,3
30,"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,2
31,An @amityaffliction kind of drive home from work today  #dailyfeels,fear,0
32,â™ªOLD FISH ,fear,0
33,Rojo is a terrible defender,fear,0
34,Being forced into a fake hug by someone who didnâ€™t flinch to get litigious with you in the past - #awful ðŸ˜–ðŸ‘ºðŸ™…,fear,2
35,This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,0
36,@hotpatooties more like quickie divorce #awful,fear,0
37,Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,fear,1
38,@SimplyMayaMarie @STILLStanding_B ðŸ˜‚ðŸ˜‚ðŸ˜‚ y'all know I'm crazy its just shocking that's all,fear,0
39,Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...,fear,0
40,@priorJoan @MizQue \nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat's horrific,fear,1
41,"@CGasparino Give it up Gas, I don't hate u, I just don't respect ur rudeness. #bully",fear,0
42,@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer,fear,0
43,@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt,fear,0
44,Has anyone else had a bad experience with Poundstretcher? #nightmare firm,fear,2
45,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear,3
46,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my lifeâ€¼ï¸ ,fear,3
47,I really want to go for fright night but I really don't ðŸ˜,fear,1
48,#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,fear,0
49,"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter ",fear,0
50,"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband",fear,0
51,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear,2
52,Do not #worry about anything but #pray about everything.,fear,0
53,#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting,fear,0
54,Didn't concede yet but having a nightmare at the back #MUFC,fear,1
55,My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. ðŸ™…ðŸ½ðŸ˜³,fear,3
56,"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",fear,1
57,@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. ðŸ˜„,fear,2
58,@sethwieck you should do a TED Talk on 'bubledygook'! I'm sure you could convince the masses to distrust those decrying TED Talks!,fear,0
59,@MobilePunch  alarming,fear,0
60,Saga: When all of your devices and teles fail just in time for bake off  #gbbo,fear,1
61,@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,1
62,@jk_rowling @Riverfeather207 Donald Trump in the White House ,fear,0
63,@FaithHill I remember it well #happy  #Positive,fear,0
