,Tweet,Emotion,Intensity
0,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0
1,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! ,joy,3
2,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0
3,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,1
4,Howling with laughter at â€œWELL DONE BEZZA!â€ #bakeoff #GBBO,joy,3
5,@StephaliciousD afternoon delight,joy,2
6,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,1
7,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy,1
8,@hesham786 that's the spirit #optimism,joy,0
9,@simmy_hanley @Schrise also a ,joy,0
10,"@scottlocker220 Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet",joy,3
11,"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? #optimism",joy,0
12,when u havent learned to swim ðŸ¤” but you keep working out so you're denser and less buoyant ðŸ˜ž but swimming is scary ðŸ¤” but also u cant swim ðŸ˜ž,joy,0
13,Evening all. Don't forget it's #RobinHoodHour TONIGHT ðŸ¹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,joy,1
14,Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting,joy,2
15,mirana told me to shut up when i was singing along to glee...,joy,0
16,"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; ",joy,2
17,ðŸ”¥ðŸ’ðŸ¼- its lit having a class with you!!! Your such a great person and good at cheer!!,joy,3
18,Watch this amazing live.ly broadcast by @jaredhorgan  #musically,joy,1
19,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",joy,3
20,Function in regard to camshaft exhilaration companies: CQHshJSI,joy,0
21,@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.,joy,0
22,"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat",joy,2
23,@Myahrissavietta I'm cheery now ðŸ˜˜ðŸ˜‰,joy,3
24,@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? ,joy,0
25,I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! ðŸ˜¯ #hyper  #letsdance #dirtydancinginthemoonlightðŸ‘Œ,joy,3
26,@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me  #itsagunalright,joy,0
27,@alicereidy more of a hearty Italian man myself,joy,2
28,The little sniffle at the end of the song gets me every time. ,joy,0
29,"it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep.",joy,1
30,@LBC_Charlotte just watched you on the great wall #hilarious ðŸ˜†,joy,3
31,@ErinAndrews I â¤ï¸you on DWTS You make my night every show! ðŸ˜˜ #hilarious,joy,3
32,Watch this amazing live.ly broadcast by @maisiev  #musically,joy,2
33,I love my family so much #lucky #grateful #smartassfamily  #love,joy,3
34,@ditzkoff @jpodhoretz Thereâ€™s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor.,joy,2
35,@MaureenKamash that's a good question. I really don't know. I am slowly losing my optimism,joy,0
36,Whatever you decide to do make sure it makes you #happy.,joy,2
37,Inquiries into alleged abuses by UK troops in Afghanistan and Iraq and data suggesting a buoyant post-Brexit economy makes the front pages.,joy,0
38,"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah MubarakðŸ˜‡ , good morningâ˜• @WaseemBadami",joy,3
39,Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets.,joy,0
40,in love with @BarberCeleste  insta!!!... #hilarious,joy,3
41,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice,joy,3
42,"Pakis are applauding Sharif's speech,i wonder how many really understood what he said!!!!\nThey are very much excited and happy",joy,1
43,@FullTimeDEVILS Memphis looking bright. Rojo looking like Rojo.,joy,1
44,@clonmacart I'm beaming with glee.,joy,3
45,"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",joy,1
46,Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE,joy,0
47,"@elena_yip My random guesses for you! A potential Amelie, Kenneth of 30 Rock (but YA instead of TV) &amp; maybe w/ the optimism of Lara Jean?",joy,0
48,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch ðŸ™ˆ soo cute ðŸº,joy,3
49,@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,3
50,Happiness is a choice life isn't about pleasing everybody #ALDUB62ndWeeksary,joy,1
51,I want the smoky clouds of laughter to swim about you forever more..,joy,2
52,It's better to be wetter than it is to be dry'- Thanks for the tip Val. First #GBBO hearty guffaw of the week,joy,2
53,"it's so breezy out today, i can't go to back to school night with bare legs like i've had all day",joy,0
54,@OccasionalGod isn't that the reason horror is popular? the exhilaration that comes from discomfort is enjoyable -- watch The Green Room :D,joy,1
55,Life izn't about pleasing each others...ðŸ˜•\n\n#hell #with #pleasing,joy,0
56,"#Taurus females are beautiful, sparkling jewels glowing in the moonlight.",joy,2
57,No doubt.... #smiling ...the best #medicine ðŸ˜ŠðŸ˜ŠðŸ˜Š,joy,3
58,@jay_roseee but that new breezy &amp; tiller ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,joy,1
59,@SoCalValerie this one was Apples attempt to make muslims happy ðŸ•‹,joy,0
60,"I envy the relentless, your cheerful smile aimed at the pouring rain, your positive attitude is an art you have continually mastered.",joy,1
61,I fear that if United bottle this my heart would actually collapse from laughter.,joy,3
62,Early morning cheerfulness can be extremely obnoxious #ALDUB62ndWeeksary,joy,0
63,"When we give cheerfully and accept gratefully, everyone is blessed. Â»Maya Angelou",joy,3
64,@SXMUrbanView @karenhunter @CousinSyl you are so wrong for this!needed levity after that recording,joy,0
65,@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.,joy,0
66,Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.,joy,0
67,It's just the lack of company and liveliness out here that makes me bored.,joy,0
68,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,joy,3
69,The people that call in to POV on KX4 make my night. #hilarious,joy,3
70,Rojo is hilarious,joy,2
71,Icon is pochama.\nHe is very cute and easily elated.,joy,2
72,Well that draw is lively! #EFLCup,joy,1
73,"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy,1
74,@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious,joy,2
75,@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too â˜ºï¸,joy,3
76,@globemartyk 'drunken patroons' make this whole situation much more jovial though.,joy,2
77,Shanghais chief distracting levity pampa - proper dingle carry away: uUDQujcia,joy,0
78,IDC predicts that by 2020 the term cloud will no longer be used...'\n\nIT Managers and Administrators everywhere will rejoice.,joy,0
79,@__Dayo yall dont feel bad.. you are rejoicing... it is what itnis... its always #ColtsNation even when we have 6th string DBs playing ðŸ˜”ðŸ˜”,joy,0
80,It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,3
81,"The best part of this day, Jesus, is to snuggle up in your embrace...to rest in your arms and know you love me...ðŸ’™â¤ #sweetEmbrace #delight",joy,3
82,Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food #laughter #praise #gospel #coffey1617,joy,3
83,@lakeline I still find you pleasing.,joy,1
84,f breezy,joy,0
85,Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago,joy,2
86,"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal",joy,2
87,@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears ,joy,0
88,@buzzlightbeard2 If you don't love yourself... Honesty is the best policy ,joy,0
